model,target_fps,optimization_mode,n_validation_recordings,mean_F1,median_F1,std_F1,mean_precision,mean_recall,mean_median_abs_timing_error_sec,median_median_abs_timing_error_sec,mean_signed_timing_error_sec,mean_timing_weighted_recall,median_timing_weighted_recall,smoothing_window_sec,derivative_weight,amplitude_weight,event_score_threshold,baseline_min_event_distance_sec,ar_model,method,optimize_b,optimize_pars,oasis_threshold_z,oasis_min_event_distance_sec,mlspike_use_autocalibration,mlspike_a,mlspike_tau,mlspike_sigma,mlspike_saturation,mlspike_drift_parameter,mlspike_amin,mlspike_amax,mlspike_taumin,mlspike_taumax
SimpleBaseline,10,spike_bins,14,0.340829414368705,0.343620754012691,0.13060432249449,0.764135183655797,0.252812568212473,0.00357142447592402,0,0.0154943748149694,0.191882091770628,0.177240848075213,0.1,0.5,0.5,1.4,0.05,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.340829414368705,0.343620754012691,0.13060432249449,0.764135183655797,0.252812568212473,0.00357142447592402,0,0.0154943748149694,0.191882091770628,0.177240848075213,0.1,0.5,0.5,1.4,0.08,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.340829414368705,0.343620754012691,0.13060432249449,0.764135183655797,0.252812568212473,0.00357142447592402,0,0.0154943748149694,0.191882091770628,0.177240848075213,0.1,0.5,0.5,1.4,0.1,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.324676739378977,0.322368005391403,0.137938309914925,0.763526709459725,0.238431063669054,0.00714284895184805,0,0.0156068131429108,0.18065362021296,0.161390703982994,0.1,0.5,0.5,1.4,0.15,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.414288760800413,0.42308093450146,0.123272174770456,0.485335337160673,0.524333328524637,0,0,0.0124052466781615,0.344301785673352,0.350281345241551,0.1,0.6,0.4,0.4,0.03,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.414288760800413,0.42308093450146,0.123272174770456,0.485335337160673,0.524333328524637,0,0,0.0124052466781615,0.344301785673352,0.350281345241551,0.1,0.6,0.4,0.4,0.05,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.414288760800413,0.42308093450146,0.123272174770456,0.485335337160673,0.524333328524637,0,0,0.0124052466781615,0.344301785673352,0.350281345241551,0.1,0.6,0.4,0.4,0.08,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.414288760800413,0.42308093450146,0.123272174770456,0.485335337160673,0.524333328524637,0,0,0.0124052466781615,0.344301785673352,0.350281345241551,0.1,0.6,0.4,0.4,0.1,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.385017880190937,0.364218647912553,0.117297378760353,0.483038270823374,0.468076673824498,0.00714284895184805,0,0.0152567153447265,0.308552855986513,0.330371367848432,0.1,0.6,0.4,0.4,0.15,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.418473833418382,0.421662033283138,0.117625029043682,0.520427105914136,0.503346095921138,0,0,0.013128286773748,0.335086544476773,0.340457042449043,0.1,0.6,0.4,0.5,0.03,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
